"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.1,-3.47708835481065e-06,0.389203836372266,-0.389200359283911
0.2,-1.28953834109209e-05,0.779505874465266,-0.779492979081855
0.3,-2.23136784670312e-05,1.16980791255827,-1.1697855988798
0.4,-3.17319735231414e-05,1.56010995065127,-1.56007821867774
0.5,-4.11502685792517e-05,1.95041198874427,-1.95037083847569
0.6,-5.05685636353619e-05,2.34071402683727,-2.34066345827363
0.7,0.0342150343000393,2.77677163067653,-2.81098666497656
0.8,0.654158547364997,3.54870493493847,-4.20286348230347
0.9,1.16670300724919,4.39498888131857,-5.56169188856776
1,1.41306179229282,5.06123063212495,-6.47429242441777
1.1,1.11814683752747,5.51637854915501,-6.63452538668247
1.2,0.188512397701704,5.97638592500262,-6.16489832270433
1.3,-0.847568830939659,6.81173565438778,-5.96416682344813
1.4,-1.70954269501849,8.13234652969406,-6.42280383467557
1.5,-2.32730636103162,9.54685831519707,-7.21955195416545
1.6,-2.96029797823617,10.6419781222278,-7.68168014399159
1.7,-3.85029658901806,11.2657347387885,-7.41543814977044
1.8,-5.03291690928751,11.4898728782456,-6.45695596895804
1.9,-6.47871783273894,11.5001209474381,-5.02140311469919
2,-8.10792040935663,11.8624146936158,-3.75449428425915
2.1,-9.72075967007379,13.0118848381949,-3.29112516812118
2.2,-10.6476456920711,15.1316412583559,-4.48399556628478
2.3,-11.568653894222,16.8000226057616,-5.23136871153951
2.4,-12.4959543685314,17.8095376442117,-5.31358327568027
2.5,-13.6224433942186,18.2584269479094,-4.63598355369087
2.6,-15.035094484817,18.528670552549,-3.49357606773196
2.7,-16.6954529329937,19.0206826925706,-2.32522975957696
2.8,-18.4708636138421,19.7401540922804,-1.26929047843827
2.9,-20.2076286694147,20.61370304547,-0.406074376055286
3,-21.5514758996389,20.94421940331,0.607256496329006
3.1,-22.4673642815961,20.5678185750097,1.89954570658641
3.2,-23.0940143716207,19.3755873183585,3.71842705326223
3.3,-23.9931440607651,17.8242366552436,6.16890740552155
3.4,-25.197791168489,16.6470175130963,8.55077365539271
3.5,-26.6027363092205,16.0230639355801,10.5796723736403
3.6,-28.5206795591822,16.4062774981815,12.1144020610007
3.7,-29.7735379574224,16.3438701209839,13.4296678364385
3.8,-30.2736829453418,15.5246318096887,14.7490511356532
3.9,-30.2392939667807,13.7718851261418,16.4674088406388
4,-30.1486292745835,11.3436361041279,18.8049931704555
4.1,-30.4395644527481,8.97659555113831,21.4629689016097
4.2,-30.9869128007607,7.368628240518,23.6182845602428
4.3,-31.3393044683166,6.13480647551075,25.2044979928059
4.4,-31.133431846512,4.86779033450422,26.2656415120077
4.5,-30.2204820200121,3.29159850189204,26.92888351812
4.6,-28.4696690002138,1.15787040807493,27.3117985921389
4.7,-25.9519796561675,-2.01007674484672,27.9620564010142
4.8,-23.5341195810935,-5.4554591901801,28.9895787712736
4.9,-22.5411637867233,-7.76025816911976,30.301421955843
5,-22.5672831333981,-9.38664988377099,31.9539330171691
5.1,-22.215679781143,-10.7471462134036,32.9628259945467
5.2,-21.3358987652155,-11.8791464314451,33.2150451966606
5.3,-19.6287650150349,-13.1443939205279,32.7731589355629
5.4,-16.895491401522,-15.1205641126032,32.0160555141252
5.5,-13.3471435199712,-17.9486762321361,31.2958197521073
5.6,-10.4411583922383,-20.475157484165,30.9163158764032
5.7,-8.54612236505747,-22.2292918589908,30.7754142240483
5.8,-7.20238521416735,-23.2185124787435,30.4208976929108
5.9,-5.77531938643974,-23.4451141154938,29.2204335019336
6,-3.71483343677519,-23.2899252283266,27.0047586651018
6.1,-0.856680679912685,-23.3254400341773,24.18212071409
6.2,3.06306604647554,-24.0773363600942,21.0142703136187
6.3,5.52511626079899,-25.2485705818609,19.7234543210619
6.4,6.90397056922852,-26.5467424103893,19.6427718411608
6.5,7.84779308270844,-27.1957270536761,19.3479339709677
6.6,8.526122145498,-26.9475450680418,18.4214229225438
6.7,9.2394549116053,-26.0432943535762,16.8038394419709
6.8,10.3430141604763,-24.6541959114214,14.3111817509451
6.9,12.4086094359072,-23.4544718830715,11.0458624471642
7.00000000000001,14.5908214585262,-23.0548656486416,8.46404419011544
7.10000000000001,16.2581663594708,-23.2571880369927,6.99902167752185
7.20000000000001,17.1829899451614,-23.1209394934193,5.93794954825794
7.30000000000001,17.2076444333426,-22.0052756715792,4.79763123823657
7.40000000000001,16.8353856107404,-20.028493110043,3.19310749930259
7.50000000000001,16.4119171121218,-17.532545382254,1.12062827013219
7.60000000000001,16.6180492346486,-14.903246586223,-1.71480264842553
7.70000000000001,18.1208467476672,-14.1485863800116,-3.97226036765567
7.80000000000001,19.7235051004893,-14.2694922734588,-5.45401282703048
7.90000000000001,20.540233365162,-14.1082210468358,-6.43201231832615
8.00000000000001,20.4085419106705,-13.2772539225668,-7.13128798810366
8.10000000000001,19.5159699377432,-11.6456698726856,-7.87030006505763
8.20000000000001,18.370423452167,-9.31973027272262,-9.05069317944439
8.3,17.9003775788921,-6.90049012468734,-10.9998874542047
8.4,18.2833141411225,-5.25309936814819,-13.0302147729743
8.5,18.651440235402,-4.28897178243964,-14.3624684529624
8.6,18.3774775082765,-3.3771300077542,-15.0003475005223
8.7,17.5357654080084,-2.32789618687442,-15.207869221134
8.8,15.6499764687188,-0.734454115571161,-14.9155223531477
8.9,13.2388116429855,1.42326357524963,-14.6620752182351
9,11.4882996937263,3.66386728050709,-15.1521669742334
9.1,11.5123835255011,5.29086545092928,-16.8032489764303
9.2,11.9272558407292,6.53821582590739,-18.4654716666366
9.3,11.8833132927278,7.51919216579666,-19.4025054585245
9.4,11.173322213262,8.34534032790335,-19.5186625411653
9.5,9.68310014797747,9.32361423331948,-19.006714381297
9.6,7.62281605680428,10.7889400734408,-18.4117561302451
9.7,5.58834500781786,12.6947774981561,-18.2831225059739
9.8,4.19631109133813,14.5057238857642,-18.7020349771023
9.9,3.27589882901943,15.8095718341983,-19.0854706632178
9.99999999999999,2.14181784406065,16.5262791448308,-18.6680969888914
10.1,0.643778900603425,16.982038232798,-17.6258171334014
10.2,-1.43506228618675,17.0944879830787,-15.6594256968919
10.3,-3.91783471289248,17.4852198677166,-13.5673851548242
