"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.05,-1.03393334934593e-07,0.195844206802053,-0.195844103408719
0.1,-5.22121947261423e-06,0.392845290940321,-0.392840069720849
0.15,-1.03390456102939e-05,0.589846375078588,-0.589836036032979
0.2,-1.54568717479735e-05,0.786847459216855,-0.786832002345109
0.25,-2.05746978856532e-05,0.983848543355122,-0.983827968657239
0.3,-2.56925240233328e-05,1.18084962749339,-1.18082393496937
0.35,-3.08103501610124e-05,1.37785071163166,-1.3778199012815
0.4,-3.59281762986921e-05,1.57485179576992,-1.57481586759363
0.45,-4.10460024363717e-05,1.77185287990819,-1.77181183390576
0.5,-4.61638285740514e-05,1.96885396404646,-1.96880780021789
0.55,-5.1281654711731e-05,2.16585504818473,-2.16580376653002
0.6,-5.63994808494106e-05,2.36285613232299,-2.36279973284215
0.65,-6.15173069870903e-05,2.55985721646126,-2.55979569915428
0.7,0.0159769510259752,2.80764606953144,-2.82362302055742
0.75,0.246733224485116,3.20660737249227,-3.45334059697739
0.8,0.527020743548863,3.63263105557135,-4.15965179912021
0.85,0.821752991764726,4.0591109547871,-4.88086394655183
0.9,1.07702791715984,4.46930963831471,-5.54633755547455
0.95,1.26106199883535,4.83278979338096,-6.09385179221632
1,1.3224236264558,5.1353742303808,-6.4577978568366
1.05,1.24312987619258,5.39414628755798,-6.63727616375055
1.1,0.972201595132577,5.60830328908078,-6.58050488421335
1.15,0.541788563438099,5.83874243526172,-6.38053099869981
1.2,0.00854983725560426,6.07967927997224,-6.08822911722784
1.25,-0.525946399751902,6.32424708392451,-5.79830068417261
1.3,-1.00644666318484,6.8917840084045,-5.88533734521966
1.35,-1.48615102847478,7.45933254360954,-5.97318151513476
1.4,-1.82980814526172,8.19633025597354,-6.36652211071182
1.45,-2.15129182894325,8.94292788001495,-6.7916360510717
1.5,-2.44620956198385,9.60814986699735,-7.16194030501351
1.55,-2.75289742454361,10.181763640495,-7.42886621595143
1.6,-3.06692251069974,10.6982709951971,-7.63134848449732
1.65,-3.46177234706306,11.0190489687029,-7.55727662163986
1.7,-3.88215856428239,11.3035506905816,-7.42139212629924
1.75,-4.41846528158293,11.4353989843226,-7.01693370273975
1.8,-5.01493016026177,11.5156080678697,-6.50067790760802
1.85,-5.72450347139383,11.4987259175038,-5.77422244611002
1.9,-6.50459135409444,11.54594204336,-5.04135068926561
1.95,-7.33761454542353,11.6412767631309,-4.30366221770738
2,-8.25531904260184,11.9954200827994,-3.74010104019756
2.05,-9.17349351312286,12.4587930166276,-3.28529950350481
2.1,-9.96221777515147,13.2168003222051,-3.2545825470537
2.15,-10.4818579462385,14.3557600878938,-3.87390214165531
2.2,-10.9826253646906,15.4078284420491,-4.42520307735837
2.25,-11.4667370104861,16.3832125083148,-4.91647549782866
2.3,-11.9273982128165,17.0959150379015,-5.16851682508502
2.35,-12.3897721497004,17.7574799630657,-5.36770781336523
2.4,-12.8693133273017,18.1181828636361,-5.24886953633439
