"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.05,2.43166941768586e-06,0.191335370186611,-0.191337801856029
0.1,-1.08255178705954e-06,0.383679133338665,-0.383678050786878
0.15,-4.59677299180493e-06,0.576022896490719,-0.576018299717727
0.2,-8.11099419655033e-06,0.768366659642773,-0.768358548648576
0.25,-1.16252154012957e-05,0.960710422794826,-0.960698797579425
0.3,-1.51394366060411e-05,1.15305418594688,-1.15303904651027
0.35,-1.86536578107865e-05,1.34539794909893,-1.34537929544112
0.4,-2.21678790155319e-05,1.53774171225099,-1.53771954437197
0.45,-2.56821002202773e-05,1.73008547540304,-1.73005979330282
0.5,-2.91963214250227e-05,1.9224292385551,-1.92240004223367
0.55,-3.27105426297681e-05,2.11477300170715,-2.11474029116452
0.6,-3.62247638345135e-05,2.3071167648592,-2.30708054009537
0.65,-3.97389850392589e-05,2.49946052801126,-2.49942078902622
0.7,0.0441585232014826,2.7195404492778,-2.76369897247928
0.75,0.496272094965255,3.01925525855024,-3.5155273535155
0.8,0.911424358319913,3.37421213203026,-4.28563649035017
0.85,1.2744262207528,3.75591943717013,-5.03034565792293
0.9,1.55244705976556,4.14244162167306,-5.69488868143862
0.95,1.76473680504067,4.49116972078887,-6.25590652582953
1,1.87473430419621,4.77562737830864,-6.65036168250486
1.05,1.86567665476356,5.01112823981618,-6.87680489457974
1.1,1.69950179713445,5.19558257077534,-6.8950843679098
1.15,1.34826038598383,5.40498372487766,-6.7532441108615
1.2,0.893640151918452,5.62832026148389,-6.52196041340235
1.25,0.426630587283432,5.88918399347839,-6.31581458076182
1.3,-0.131234068195615,6.42524715832019,-6.29401309012458
1.35,-0.623197822489026,7.04928847390136,-6.42609065141234
1.4,-1.00746110924975,7.81203857695449,-6.80457746770474
1.45,-1.34424027934795,8.54020386971249,-7.19596359036454
1.5,-1.64403174236274,9.23611793545514,-7.59208619309239
1.55,-1.95306272921623,9.78599493983409,-7.83293221061784
1.6,-2.31333372292797,10.2629464723828,-7.94961274945482
1.65,-2.74553780319074,10.6375218617853,-7.89198405859451
1.7,-3.28580934209551,10.904300392911,-7.61849105081547
1.75,-3.88076561910828,11.116531116234,-7.23576549712574
1.8,-4.6003923101368,11.159707436737,-6.55931512660028
1.85,-5.33582397688678,11.17381587397,-5.83799189708323
1.9,-6.0688131520248,11.1475541865471,-5.07874103452229
1.95,-6.80106494092148,11.1832344451666,-4.3821695042451
2,-7.53197814128093,11.3313588670973,-3.79938072581632
2.05,-8.27508702530413,11.7037672695845,-3.42868024428037
2.1,-8.87637770008235,12.2904788547084,-3.41410115462603
2.15,-9.17655047075716,13.2564211547542,-4.07987068399697
2.2,-9.50209125351969,14.1705514730521,-4.66846021953245
2.25,-9.85291900040801,15.0330353430904,-5.18011634268242
2.3,-10.2265282131286,15.6734019929559,-5.44687377982738
2.35,-10.6042870180952,16.2786430596638,-5.67435604156864
2.4,-11.0262342108465,16.5711577788305,-5.54492356798395
2.45,-11.4481814035979,16.8636724979972,-5.41549109439925
2.5,-12.0455930634306,16.936827877836,-4.89123481440532
2.55,-12.6562929100992,16.9933708464348,-4.33707793633566
2.6,-13.3215326477893,17.1027807610201,-3.78124811323078
2.65,-14.0213117449433,17.2519503399801,-3.23063859503678
2.7,-14.7224923184872,17.5151334573439,-2.79264113885674
2.75,-15.4812997044453,17.8851352362989,-2.40383553185363
2.8,-16.2684031715252,18.3028288081279,-2.03442563660266
2.85,-17.1431410619529,18.8270260401092,-1.68388497815632
2.9,-18.0178789523806,19.3512232720905,-1.33334431970998
2.95,-18.6939234914238,19.5450003079741,-0.851076816550312
3,-19.3207904345157,19.6569966965202,-0.336206262004521
3.05,-19.9476573776075,19.7689930850662,0.178664292541269
3.1,-20.3402678846064,19.3681329414378,0.972134943168568
3.15,-20.6600904088166,18.8063235693108,1.85376683950578
3.2,-20.9799129330267,18.2445141971837,2.73539873584299
3.25,-21.4929840104288,17.5404673027094,3.9525167077194
3.3,-22.0538850690601,16.8012159116861,5.25266915737396
3.35,-22.7636994529322,16.2758721265993,6.4878273263329
3.4,-23.5002713506283,15.835464325744,7.66480702488435
3.45,-24.22005521533,15.4334470981531,8.78660811717683
3.5,-25.2411906951649,15.4316019457495,9.80958874941538
3.55,-26.5012902309744,15.7462238029876,10.7550664279868
3.6,-27.4896680207323,15.9560444220084,11.5336235987239
3.65,-28.2875623289902,16.035202098769,12.2523602302212
3.7,-28.7757208921202,15.901895243367,12.8738256487532
3.75,-29.2172275892493,15.7223577226401,13.4948698666092
3.8,-29.1446666091004,15.0333938320836,14.1112727770168
3.85,-29.0721056289515,14.3444299415271,14.7276756874244
3.9,-28.8794818576286,13.2196029482546,15.659878909374
3.95,-28.6679593136209,12.026167873999,16.6417914396219
4,-28.6828693480886,10.7949953060339,17.8878740420547
4.05,-28.8190626801181,9.54360953504999,19.2754531450681
4.1,-29.3275176059852,8.63269771511487,20.6948198908704
4.15,-29.8636064754084,7.86624221996042,21.9973642554481
4.2,-30.3637978485833,7.18653684477356,23.1772610038097
4.25,-30.7509470845557,6.58743608651873,24.1635109980369
4.3,-30.9852780667155,6.02852754074792,24.9567505259676
4.35,-31.119471950505,5.46328314384723,25.6561888066578
4.4,-30.9244870159999,4.81510577546435,26.1093812405355
4.45,-30.7295020814948,4.16692840708147,26.5625736744133
4.5,-30.0188615034417,3.23580283230122,26.7830586711404
4.55,-29.2325283538586,2.26314357584798,26.9693847780106
4.6,-28.245532112711,1.08087476774607,27.1646573449649
4.65,-27.0222148787102,-0.348251282367162,27.3704661610774
4.7,-25.7169711010407,-2.06303677612947,27.7800078771702
4.75,-24.4895709484749,-3.80067447579021,28.2902454242651
4.8,-23.4041727650805,-5.47943825343361,28.883611018514
4.85,-22.5132111829625,-6.82249118996508,29.3357023729275
4.9,-22.455986211363,-7.77750357915754,30.2334897905206
4.95,-22.6230153835261,-8.57433546154345,31.1973508450695
5,-22.6999202793852,-9.31364907131382,32.013569350699
5.05,-22.6822896584916,-9.97615012005729,32.6584397785488
5.1,-22.5783935801015,-10.5611090149625,33.1395025950641
5.15,-22.3777329362433,-11.057761008058,33.4354939443012
5.2,-22.0673887236966,-11.5451336538077,33.6125223775042
5.25,-21.5880604764631,-12.018210069297,33.60627054576
5.3,-20.9219115290889,-12.6129349078743,33.5348464369632
5.35,-20.1252926905838,-13.2926153027932,33.417907993377
5.4,-18.8398130152617,-14.3731048524828,33.2129178677446
5.44999999999999,-17.4096087444292,-15.5810062948445,32.9906150392738
5.49999999999999,-15.748710640884,-16.9985551463379,32.7472657872218
5.54999999999999,-14.1601279068792,-18.343168885084,32.5032967919633
5.59999999999999,-12.6665608597943,-19.579236426092,32.2457972858863
5.64999999999999,-11.3895630264501,-20.6211131549927,32.0106761814429
5.69999999999999,-10.3075039360515,-21.4856199882795,31.793123924331
5.74999999999999,-9.43442889943865,-22.1459860996191,31.5804149990578
5.79999999999999,-8.63811094733962,-22.5388712180539,31.1769821653935
5.84999999999999,-7.82004931214056,-22.7767281730291,30.5967774851697
5.89999999999999,-6.93398984231175,-22.8496667626401,29.7836566049518
5.94999999999999,-5.86151511470775,-22.8850140871506,28.7465292018583
5.99999999999999,-4.53076275896467,-22.8682788573425,27.3990416163071
6.04999999999999,-3.20001040322159,-22.8515436275344,26.051554030756
6.09999999999999,-1.23733252780873,-23.0388823002284,24.2762148280371
6.14999999999999,1.21336545016616,-23.5785123361867,22.3651468860206
6.19999999999999,3.57754720375632,-24.2431192813373,20.665572077581
6.24999999999999,5.5022102241991,-24.8821920688995,19.3799818447004
6.29999999999999,6.52149530139279,-25.7034582045055,19.1819629031127
6.34999999999999,7.28636102379174,-26.4297618854976,19.1434008617058
6.39999999999999,7.86465211036774,-27.0103057000188,19.145653589651
6.44999999999999,8.30413932437369,-27.4195494439514,19.1154101195777
6.49999999999999,8.59268169225869,-27.5814068202368,18.9887251279781
6.54999999999999,8.73475535973179,-27.4375499257319,18.7027945660001
6.59999999999999,8.81377255312615,-27.0391885665655,18.2254160134394
6.64999999999999,8.85530975044815,-26.4895528699855,17.6342431195373
6.69999999999999,8.93166372884975,-25.7252935192135,16.7936297903637
6.74999999999999,9.03567726422552,-24.8457882223065,15.810110958081
6.79999999999999,9.32810676971785,-23.8288144660744,14.5007076963566
6.84999999999999,9.83969795004968,-22.8625275637127,13.0228296136631
6.89999999999999,10.5845161736077,-22.0692528903806,11.4847367167728
6.94999999999999,11.3881121920521,-21.5971717122447,10.2090595201925
6.99999999999998,12.1920734364248,-21.4044792858763,9.21240584945151
7.04999999999998,12.9782572466756,-21.4593746869659,8.48111744029028
7.09999999999998,13.7099424192587,-21.6229125965313,7.91297017727267
7.14999999999998,14.1419396514385,-21.5564923991451,7.41455274770663
7.19999999999998,14.5512410671333,-21.4726571299759,6.92141606284263
7.24999999999998,14.5775875248731,-20.8828428024519,6.3052552775788
7.29999999999998,14.5292467823997,-20.1943480467207,5.66510126432106
7.34999999999998,14.4809060399263,-19.5058532909896,5.02494725106332
7.39999999999998,14.2486916008864,-18.4071574081319,4.15846580724542
7.44999999999998,13.9965278293923,-17.1723582610222,3.17583043162992
