"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.01,4.42722047452428e-06,0.0382291464195556,-0.0382335736400301
0.02,3.4035999251259e-06,0.0776127592730703,-0.0776161628729953
0.03,2.37997937572752e-06,0.116996372126585,-0.116998752105961
0.04,1.35635882632914e-06,0.1563799849801,-0.156381341338926
0.05,3.32738276930763e-07,0.195763597833614,-0.195763930571891
0.06,-6.90882272467616e-07,0.235147210687129,-0.235146519804856
0.07,-1.714502821866e-06,0.274530823540644,-0.274529109037821
0.08,-2.73812337126438e-06,0.313914436394158,-0.313911698270787
0.09,-3.76174392066276e-06,0.353298049247673,-0.353294287503752
0.1,-4.78536447006113e-06,0.392681662101188,-0.392676876736717
0.11,-5.80898501945951e-06,0.432065274954702,-0.432059465969682
0.12,-6.83260556885789e-06,0.471448887808217,-0.471442055202648
0.13,-7.85622611825627e-06,0.510832500661732,-0.510824644435613
0.14,-8.87984666765465e-06,0.550216113515246,-0.550207233668578
0.15,-9.90346721705303e-06,0.589599726368761,-0.589589822901543
0.16,-1.09270877664514e-05,0.628983339222276,-0.628972412134508
0.17,-1.19507083158498e-05,0.66836695207579,-0.668355001367474
0.18,-1.29743288652482e-05,0.707750564929305,-0.707737590600439
0.19,-1.39979494146466e-05,0.74713417778282,-0.747120179833404
0.2,-1.50215699640449e-05,0.786517790636335,-0.786502769066369
0.21,-1.60451905134433e-05,0.825901403489849,-0.825885358299335
0.22,-1.70688110628417e-05,0.865285016343364,-0.8652679475323
0.23,-1.80924316122401e-05,0.904668629196879,-0.904650536765265
0.24,-1.91160521616384e-05,0.944052242050393,-0.94403312599823
0.25,-2.01396727110368e-05,0.983435854903908,-0.983415715231196
0.26,-2.11632932604352e-05,1.02281946775742,-1.02279830446416
0.27,-2.21869138098336e-05,1.06220308061094,-1.06218089369713
0.28,-2.3210534359232e-05,1.10158669346445,-1.10156348293009
0.29,-2.42341549086304e-05,1.14097030631797,-1.14094607216306
0.3,-2.52577754580287e-05,1.18035391917148,-1.18032866139602
0.31,-2.62813960074271e-05,1.219737532025,-1.21971125062899
0.32,-2.73050165568255e-05,1.25912114487851,-1.25909383986195
0.33,-2.83286371062239e-05,1.29850475773203,-1.29847642909492
0.34,-2.93522576556223e-05,1.33788837058554,-1.33785901832788
0.35,-3.03758782050207e-05,1.37727198343906,-1.37724160756085
0.36,-3.1399498754419e-05,1.41665559629257,-1.41662419679381
0.37,-3.24231193038174e-05,1.45603920914609,-1.45600678602678
0.38,-3.34467398532158e-05,1.4954228219996,-1.49538937525974
0.39,-3.44703604026142e-05,1.53480643485312,-1.53477196449271
0.4,-3.54939809520126e-05,1.57419004770663,-1.57415455372568
0.41,-3.65176015014109e-05,1.61357366056014,-1.61353714295864
0.42,-3.75412220508093e-05,1.65295727341366,-1.65291973219161
0.43,-3.85648426002077e-05,1.69234088626717,-1.69230232142457
0.440000000000001,-3.95884631496061e-05,1.73172449912069,-1.73168491065754
0.450000000000001,-4.06120836990045e-05,1.7711081119742,-1.7710674998905
0.460000000000001,-4.16357042484029e-05,1.81049172482772,-1.81045008912347
0.470000000000001,-4.26593247978012e-05,1.84987533768123,-1.84983267835643
0.480000000000001,-4.36829453471996e-05,1.88925895053475,-1.8892152675894
0.490000000000001,-4.4706565896598e-05,1.92864256338826,-1.92859785682236
0.500000000000001,-4.57301864459964e-05,1.96802617624178,-1.96798044605533
0.510000000000001,-4.67538069953948e-05,2.00740978909529,-2.00736303528829
0.520000000000001,-4.77774275447931e-05,2.04679340194881,-2.04674562452126
0.530000000000001,-4.88010480941915e-05,2.08617701480232,-2.08612821375422
0.540000000000001,-4.98246686435899e-05,2.12556062765584,-2.12551080298719
0.550000000000001,-5.08482891929883e-05,2.16494424050935,-2.16489339222016
0.560000000000001,-5.18719097423867e-05,2.20432785336287,-2.20427598145312
0.570000000000001,-5.28955302917851e-05,2.24371146621638,-2.24365857068609
0.580000000000001,-5.39191508411834e-05,2.2830950790699,-2.28304115991905
0.590000000000001,-5.49427713905818e-05,2.32247869192341,-2.32242374915202
0.600000000000001,-5.59663919399802e-05,2.36186230477693,-2.36180633838498
0.610000000000001,-5.69900124893786e-05,2.40124591763044,-2.40118892761795
0.620000000000001,-5.8013633038777e-05,2.44062953048395,-2.44057151685091
0.630000000000001,-5.90372535881753e-05,2.48001314333747,-2.47995410608388
0.640000000000001,-6.00608741375737e-05,2.51939675619098,-2.51933669531684
0.650000000000001,-6.10844946869721e-05,2.5587803690445,-2.55871928454981
0.660000000000001,-6.21081152363705e-05,2.59816398189801,-2.59810187378277
