"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.1,-1.08255178705954e-06,0.383679133338665,-0.383678050786878
0.2,-8.11099419655033e-06,0.768366659642773,-0.768358548648576
0.3,-1.51394366060411e-05,1.15305418594688,-1.15303904651027
0.4,-2.21678790155319e-05,1.53774171225099,-1.53771954437197
0.5,-2.91963214250227e-05,1.92242923855509,-1.92240004223367
0.6,-3.62247638345135e-05,2.3071167648592,-2.30708054009537
0.7,0.0441585232014816,2.7195404492778,-2.76369897247928
0.8,0.911424358319912,3.37421213203026,-4.28563649035017
0.9,1.55244705976556,4.14244162167306,-5.69488868143862
1,1.87473430419621,4.77562737830864,-6.65036168250486
1.1,1.69950179713445,5.19558257077534,-6.8950843679098
1.2,0.893640151918448,5.6283202614839,-6.52196041340234
1.3,-0.131234068195623,6.4252471583202,-6.29401309012458
1.4,-1.00746110924976,7.8120385769545,-6.80457746770474
1.5,-1.64403174236275,9.23611793545516,-7.5920861930924
1.6,-2.31333372292799,10.2629464723828,-7.94961274945482
1.7,-3.28580934209553,10.904300392911,-7.61849105081545
1.8,-4.60039231013682,11.159707436737,-6.55931512660026
1.9,-6.06881315202483,11.1475541865471,-5.07874103452226
2,-7.53197814128096,11.3313588670973,-3.7993807258163
2.1,-8.87637770008236,12.2904788547084,-3.41410115462605
2.2,-9.5020912535197,14.1705514730522,-4.66846021953246
2.3,-10.2265282131286,15.6734019929559,-5.44687377982738
2.4,-11.0262342108465,16.5711577788305,-5.54492356798395
2.5,-12.0455930634306,16.936827877836,-4.89123481440533
2.6,-13.3215326477893,17.1027807610201,-3.78124811323079
2.7,-14.7224923184871,17.5151334573439,-2.79264113885675
2.8,-16.2684031715252,18.3028288081279,-2.03442563660267
2.9,-18.0178789523805,19.3512232720905,-1.33334431970999
3,-19.3207904345156,19.6569966965202,-0.336206262004548
3.1,-20.3402678846064,19.3681329414379,0.972134943168515
3.2,-20.9799129330267,18.2445141971837,2.73539873584293
3.3,-22.05388506906,16.8012159116862,5.25266915737385
3.4,-23.5002713506283,15.835464325744,7.66480702488426
3.5,-25.2411906951647,15.4316019457494,9.80958874941529
3.6,-27.4896680207322,15.9560444220084,11.5336235987238
3.7,-28.7757208921201,15.901895243367,12.8738256487531
3.8,-29.1446666091004,15.0333938320837,14.1112727770167
3.9,-28.8794818576286,13.2196029482547,15.6598789093739
4,-28.6828693480886,10.794995306034,17.8878740420546
4.1,-29.3275176059851,8.63269771511496,20.6948198908702
4.2,-30.3637978485832,7.18653684477361,23.1772610038096
4.3,-30.9852780667155,6.02852754074795,24.9567505259675
4.4,-30.9244870159999,4.81510577546438,26.1093812405355
4.5,-30.0188615034417,3.23580283230126,26.7830586711404
4.6,-28.245532112711,1.08087476774609,27.1646573449649
4.7,-25.7169711010407,-2.06303677612947,27.7800078771702
4.8,-23.4041727650805,-5.47943825343363,28.883611018514
4.9,-22.455986211363,-7.77750357915757,30.2334897905206
5,-22.6999202793853,-9.31364907131385,32.0135693506991
5.1,-22.5783935801015,-10.5611090149626,33.1395025950641
5.2,-22.0673887236965,-11.5451336538077,33.6125223775042
5.3,-20.9219115290889,-12.6129349078744,33.5348464369632
5.4,-18.8398130152616,-14.373104852483,33.2129178677446
5.5,-15.7487106408838,-16.9985551463381,32.7472657872218
5.6,-12.6665608597941,-19.5792364260922,32.2457972858863
5.7,-10.3075039360513,-21.4856199882796,31.793123924331
5.8,-8.63811094733947,-22.5388712180539,31.1769821653934
5.9,-6.93398984231156,-22.8496667626401,29.7836566049516
6,-4.53076275896437,-22.8682788573425,27.3990416163068
6.1,-1.23733252780815,-23.0388823002285,24.2762148280366
6.2,3.57754720375688,-24.2431192813375,20.6655720775806
6.3,6.52149530139303,-25.7034582045057,19.1819629031127
6.4,7.86465211036789,-27.0103057000189,19.145653589651
6.5,8.59268169225874,-27.5814068202368,18.988725127978
6.6,8.81377255312616,-27.0391885665654,18.2254160134392
6.7,8.93166372884978,-25.7252935192132,16.7936297903634
6.8,9.32810676971796,-23.8288144660741,14.5007076963561
6.9,10.584516173608,-22.0692528903803,11.4847367167722
7.00000000000001,12.1920734364251,-21.4044792858763,9.21240584945119
7.10000000000001,13.709942419259,-21.6229125965314,7.91297017727243
7.20000000000001,14.5512410671335,-21.4726571299759,6.92141606284242
7.30000000000001,14.5292467823996,-20.1943480467204,5.66510126432077
7.40000000000001,14.2486916008863,-18.4071574081313,4.158465807245
7.50000000000001,13.7803459337793,-15.823359629094,2.04301369531465
7.60000000000001,13.9401996336995,-13.3901817746329,-0.550017859066626
7.70000000000001,15.8531553740313,-12.9758778401225,-2.87727753390881
7.80000000000001,17.8959860911779,-13.2871298671945,-4.60885622398339
7.90000000000001,18.762146687414,-13.0860537720233,-5.67609291539059
8.00000000000001,18.5942725437062,-12.20607797778,-6.3881945659262
8.10000000000001,17.5775818402218,-10.5530438172888,-7.02453802293309
8.20000000000001,16.2469730847183,-8.23959790549649,-8.00737517922182
8.3,15.9931361217979,-6.09002600291035,-9.90311011888753
8.4,16.927387509274,-4.69096432164423,-12.2364231876297
8.5,17.6654765920671,-3.81718626680867,-13.8482903252584
8.6,17.6568886818769,-3.02503444194781,-14.6318542399291
8.7,16.7175296449481,-1.93234857542877,-14.7851810695193
8.8,15.196124630141,-0.541852682008328,-14.6542719481327
8.9,12.8646858890266,1.5770564715318,-14.4417423605585
9,11.1995665093436,3.78823933440413,-14.9878058437477
9.1,11.4017636776874,5.33598046350094,-16.7377441411883
9.2,12.0649984736072,6.47023775268823,-18.5352362262954
9.3,12.2424521943217,7.34563627072149,-19.5880884650431
9.4,11.8586154603575,8.04488651638438,-19.9035019767419
9.5,10.8119469603286,8.8675393541252,-19.6794863144538
9.6,9.14304628774801,10.2124967166562,-19.3555430044042
9.7,7.21036478571261,12.0628142579609,-19.2731790436736
9.8,5.70855798397673,13.8942782989239,-19.6028362829007
9.9,4.64268019558937,15.2158509854557,-19.858531181045
9.99999999999999,3.41881194596027,16.143953887272,-19.5627658332322
10.1,1.57455833561982,16.627972212352,-18.2025305479718
10.2,-1.06693636122775,16.9234534682485,-15.8565171070208
10.3,-4.13349789064715,17.5712849938876,-13.4377871032404
10.4,-6.4955829534086,18.5709802187805,-12.0753972653719
10.5,-7.53896945099116,19.9652125366343,-12.4262430856432
10.6,-8.13911199209815,21.0890715425331,-12.949959550435
10.7,-8.66080366933964,21.537118064776,-12.8763143954365
10.8,-9.25073336284435,21.2205476617378,-11.9698142988935
10.9,-10.1705218080896,20.3593200831854,-10.1887982750958
11,-11.6225281867305,19.5804163921426,-7.95788820541207
11.1,-13.1184857823197,19.4542105707227,-6.33572478840305
11.2,-14.68475401321,20.0264222913738,-5.34166827816385
11.3,-16.0188381118351,20.5825400254257,-4.56370191359053
11.4,-16.6483628873399,20.0980288380274,-3.4496659506876
11.5,-17.0802742417072,19.1771074842939,-2.09683324258679
11.6,-17.3339006068206,17.3148850981381,0.019015508682504
11.7,-18.2485178122163,15.4207760168343,2.827741795382
11.8,-19.4956336242433,14.2954376442474,5.20019597999585
11.9,-21.9199698465332,14.7846986026661,7.13527124386714
12,-23.6356375366444,15.0455496262464,8.59008791039794
12.1,-24.2163689016397,14.5713639245748,9.64500497706486
12.2,-23.804553602702,13.1869379854248,10.6176156172772
12.3,-22.9832054787807,10.9865417284474,11.9966637503334
12.4,-22.720894704029,8.516062483128,14.204832220901
12.5,-23.5584179021358,6.76692493470593,16.7914929674299
12.6,-24.4874235436674,5.56981082215545,18.9176127215119
12.7,-24.8334401075714,4.61368668215986,20.2197534254115
12.8,-24.3970091180857,3.44799158602615,20.9490175320596
12.9,-23.1541381704363,1.92872359999123,21.2254145704451
13,-20.8770473369789,-0.4027716369015,21.2798189738804
13.1,-18.5642328178658,-3.36372049367104,21.9279533115369
13.2,-17.020579785805,-5.87506343303319,22.8956432188382
13.3,-17.4960208895692,-7.39513431470016,24.8911552042693
13.4,-17.7878083622363,-8.60260269730577,26.3904110595421
13.5,-17.6171050108333,-9.52384326462748,27.1409482754608
13.6,-16.8574118324416,-10.3641237083793,27.2215355408209
13.7,-15.4042152850195,-11.5368346722663,26.9410499572858
13.8,-12.9471590863044,-13.65464693411,26.6018060204145
13.9,-10.4000711627154,-15.9909387632535,26.391009925969
14,-8.41177498810707,-17.9250657683646,26.3368407564717
14.1,-7.07216473393746,-19.1763919126457,26.2485566465831
14.2,-5.53630087078622,-19.7392606927669,25.2755615635531
14.3,-3.41721242489805,-20.0041144767132,23.4213269016112
14.4,-0.344206867507071,-20.2576910079742,20.6018978754813
14.5,3.66546831150205,-21.2174943148281,17.552026003326
14.6,6.4667837807052,-22.4265708144179,15.9597870337126
14.7,7.69632212922801,-23.9522759766422,16.2559538474142
14.8,8.35351834159035,-24.8633289091642,16.5098105675738
14.9,8.69363092937394,-24.8198061376957,16.1261752083217
15,9.01267074249377,-23.9078861333471,14.8952153908533
15.1,9.673441261787,-22.4692585358487,12.7958172740617
15.2,10.9809743443129,-21.0651817548492,10.0842074105363
15.3,12.5441616827235,-20.6449300622088,8.1007683794853
15.4,14.109257545603,-21.0352863789538,6.92602883335085
15.5,15.1706850282911,-21.1305353213733,5.95985029308228
15.6,15.447579457698,-20.2280541325863,4.78047467488828
15.7,15.56653950074,-18.9410095824496,3.37447008170962
15.8,15.4654821868965,-16.7031215799422,1.23763939304566
15.9,15.9636882562854,-14.4733787287509,-1.49030952753441
16,17.5342028818356,-13.6897809383245,-3.84442194351113
16.1,19.8245131025227,-14.150620257544,-5.67389284497866
16.2,21.1847145499508,-14.2201940467108,-6.96452050323994
16.3,21.3349365814028,-13.5198554846325,-7.8150810967704
16.4,20.6087244034629,-11.9757435649395,-8.63298083852347
16.5,19.5234259159102,-9.69167725019597,-9.83174866571416
16.6,19.2084066555935,-7.36914465000136,-11.8392620055921
16.7,20.0448274657887,-5.74686920649757,-14.2979582592912
16.8,20.9197055548904,-4.70534483587083,-16.2143607190195
16.9,21.0922465618782,-3.82911309999837,-17.2631334618798
17,20.5192713530779,-2.78884403216236,-17.7304273209155
17.1,19.0074724330356,-1.2518970037404,-17.7555754292953
17.1999999999999,16.6662082961881,0.988333028464168,-17.6545413246522
17.3,14.6264141408395,3.58704357213992,-18.2134577129794
17.3999999999999,13.9686816059489,5.5633486609636,-19.5320302669125
17.5,14.5838831989228,6.87354958440372,-21.4574327833265
17.5999999999999,14.8692368120902,7.90903690330041,-22.7782737153906
17.6999999999999,14.638694280843,8.69476676540256,-23.3334610462456
17.7999999999999,13.6954306725297,9.51119107274942,-23.2066217452791
