"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.05,3.06686257993319e-06,0.331113278323673,-0.331116345186254
0.1,-1.60443713420513e-06,0.664339568991977,-0.664337964554845
0.15,-6.27573684834345e-06,0.997565859660281,-0.997559583923435
0.2,-1.09470365624818e-05,1.33079215032858,-1.33078120329203
0.25,-1.56183362766201e-05,1.66401844099689,-1.66400282266062
0.3,-2.02896359907584e-05,1.99724473166519,-1.99722444202921
0.35,-2.49609357048967e-05,2.3304710223335,-2.3304460613978
0.4,-2.9632235419035e-05,2.6636973130018,-2.66366768076639
0.45,-3.43035351331734e-05,2.9969236036701,-2.99688930013498
0.5,-3.89748348473117e-05,3.33014989433841,-3.33011091950357
0.55,0.273208850216437,3.8438897666159,-4.11709861683233
0.6,0.715275530585615,4.53651174850599,-5.25178727909161
0.65,1.08673037560769,5.24103023986939,-6.32776061547708
0.7,1.35735552607846,5.88349552169866,-7.24085104777711
0.75,1.47960302312897,6.44518651086941,-7.92478953399838
0.8,1.34339275780176,6.94958382662628,-8.29297658442804
0.85,0.957184408039936,7.44714057904368,-8.40432498708362
0.9,0.269650316909346,8.03358356128092,-8.30323387819027
0.95,-0.464410129768029,8.81264894388236,-8.34823881411434
1,-1.25872885139722,9.86591845475913,-8.60718960336191
1.05,-1.78477559252769,11.1641383023796,-9.37936270985186
1.1,-2.23138270630411,12.4141323052381,-10.182749598934
1.15,-2.66630001472331,13.5527438993664,-10.8864438846431
1.2,-3.17032848322299,14.5486910077171,-11.3783625244941
1.25,-3.85015534103428,15.3488992015681,-11.4987438605338
1.3,-4.72091611388663,15.9946858791021,-11.2737697652154
1.35,-5.75146957505176,16.5583147681607,-10.8068451931089
1.4,-6.94271033164813,17.0770439158386,-10.1343335841905
1.45,-8.25327922002251,17.7771605236222,-9.52388130359963
1.5,-9.53186411195409,18.5463487854531,-9.01448467349904
1.55,-10.7798555788736,19.4022270997934,-8.62237152091976
1.6,-11.767155885152,20.7445855810186,-8.97742969586666
1.65,-12.6710525976683,22.2221451124185,-9.55109251475027
1.7,-13.574891945325,23.5163059520566,-9.94141400673168
1.75,-14.499909151772,24.4981716310628,-9.99826247929084
1.8,-15.468109209362,25.2675357107333,-9.79942650137133
1.85,-16.6683999557982,25.6565218207935,-8.9881218649953
1.9,-18.0397062979528,26.0498772955944,-8.01017099764153
1.95,-19.6429555639893,26.4491587985401,-6.80620323455074
2,-21.1862718000083,26.9691479773263,-5.78287617731806
2.05,-22.6460978446408,27.585531804155,-4.93943395951421
2.1,-24.0908947310627,28.2784521708224,-4.18755743975966
2.15,-25.5143633516975,28.9785453089932,-3.46418195729574
2.2,-26.8096021901429,29.5304052386078,-2.72080304846497
2.25,-28.060943968976,29.9931471279497,-1.93220315897369
2.3,-28.9357128877633,29.6913859821542,-0.755673094390929
2.35,-29.8104818065507,29.3896248363588,0.420856970191836
2.4,-30.7511144501936,28.5744897655236,2.17662468466994
2.45,-31.7767358335424,27.5289145801687,4.24782125337364
2.5,-32.9427926184874,26.297054153609,6.64573846487841
2.55,-34.1436714907668,25.4455512423033,8.69812024846352
2.6,-35.2692862876545,24.8987982388539,10.3704880488007
2.65,-36.804916931059,25.0023737199433,11.8025432111158
2.7,-38.126428951904,25.0361114294235,13.0903175224804
2.75,-39.0388342133993,24.8015048178627,14.2373293955366
2.8,-39.587531192497,24.2484692696893,15.3390619228077
2.85,-39.9207053831211,23.5063529159702,16.414352467151
2.9,-39.9676762660177,22.1280194802483,17.8396567857694
2.95,-39.9423214090745,20.4119697373621,19.5303516717124
3,-39.8513947732848,18.2069923449303,21.6444024283545
3.05,-39.8788048420514,15.6828885866004,24.195916255451
3.1,-40.2785499124959,13.7361804620947,26.5423694504012
3.15,-40.7629247957746,12.2873909688082,28.4755338269665
3.2,-41.1198880625413,11.1108693009078,30.0090187616336
3.25,-41.2736559111758,10.0957802388665,31.1778756723093
3.3,-41.1697145631983,9.11426478972142,32.0554497734769
3.35,-40.7102614930347,8.04319272809177,32.667068764943
3.4,-39.6576682804144,6.59628725287189,33.0613810275425
3.45,-38.586859703926,5.12880250462455,33.4580571993014
3.5,-36.8929468352226,2.94604860256815,33.9468982326544
3.55,-34.9640072981953,0.191257485690202,34.7727498125051
3.6,-32.9499349101011,-2.86463892333198,35.8145738334332
3.65,-31.2205518099143,-5.66195048126817,36.8825022911825
3.7,-30.7066449912287,-7.58730793214319,38.2939529233719
