"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.1,-3.33751615420307e-06,0.668001148256113,-0.667997810739958
0.2,-1.39104438687299e-05,1.33815949253316,-1.33814558208929
0.3,-2.44833715832568e-05,2.00831783681021,-2.00829335343863
0.4,-3.50562992977837e-05,2.67847618108726,-2.67844112478796
0.5,-4.56292270123105e-05,3.34863452536431,-3.3485888961373
0.6,0.613583975834128,4.60971139173396,-5.22329536756808
0.7,1.30988955504138,5.94043778995205,-7.25032734499343
0.8,1.25798595140862,7.01884755122593,-8.27683350263455
0.9,0.110494195202462,8.12535168014703,-8.23584587534949
1,-1.34072488138534,9.92509265591882,-8.58436777453347
1.1,-2.28279800537603,12.4555136896562,-10.1727156842802
1.2,-3.18052653939439,14.5766525307187,-11.3961259913243
1.3,-4.56372923063157,15.9396999412159,-11.3759707105843
1.4,-6.67604209402083,16.9412569016632,-10.2652148076425
1.5,-9.48907391810261,18.549694435069,-9.06062051696633
1.6,-11.9860348262685,20.9410184423576,-8.95498361608922
1.7,-13.9129255240484,23.810375337355,-9.89744981330661
1.8,-15.8569885284937,25.5917860751802,-9.73479754668649
1.9,-18.4802932618851,26.4316045719296,-7.95131131004442
2,-21.7886085490574,27.4544086230129,-5.66580007395557
2.1,-24.8343379451843,28.7679859583521,-3.93364801316779
2.2,-27.4258128949232,29.8387988104845,-2.41298591556123
2.3,-29.4176498405243,29.9043573349748,-0.486707494450411
2.4,-31.1251307404895,28.7286847803609,2.39644596012856
2.5,-33.2380592327091,26.4310107199852,6.80704851272395
2.6,-35.4481139371231,24.9159356991197,10.5321782380034
2.7,-38.0471790213454,24.9063927046249,13.1407863167205
2.8,-39.6368813984053,24.2086729132796,15.4282084851258
2.9,-40.2207492782505,22.2071308572665,18.013618420984
3,-40.1388519035198,18.2834543007507,21.8553976027691
3.1,-40.1183039061993,13.635159833132,26.4831440730673
3.2,-40.6741723712137,10.9364669635145,29.7377054076991
3.3,-40.7832004100983,8.99426899231068,31.7889314177875
3.4,-39.4731647254206,6.59698017025365,32.8761845551669
3.5,-36.6935653319422,2.87031974715382,33.8232455847884
3.6,-32.6364317415853,-2.94552204117039,35.5819537827557
3.7,-30.3684000533113,-7.61581271348917,37.9842127668005
3.8,-29.5553693023644,-10.2910704896969,39.8464397920614
3.9,-27.9751341286136,-12.176660323046,40.1517944516596
4,-25.1649836121489,-14.0834460259378,39.2484296380867
4.1,-20.3853429912526,-17.4639379488419,37.8492809400946
4.2,-14.6255506582148,-22.2644634783596,36.8900141365745
4.3,-11.2413558142544,-25.2073165349027,36.4486723491572
4.4,-9.16479605628034,-26.3683651477742,35.5331612040546
4.5,-6.92647247502235,-26.2823521929071,33.2088246679295
4.6,-3.46755744475884,-26.0057478244099,29.4733052691687
4.7,2.08154415953578,-27.2620743762145,25.1805302166787
4.8,5.84454169742122,-29.4425256626016,23.5979839651804
4.9,7.78784806858014,-30.2924771246221,22.5046290560419
5,8.90031830765891,-29.5353909740211,20.6350726663621
5.1,10.1701066394973,-27.7046757675817,17.5345691280844
5.2,13.0779865013387,-25.8916372701362,12.8136507687975
5.3,16.3652170357616,-25.376738219594,9.01152118383247
5.4,17.9653343579874,-25.1046900506426,7.13935569265517
5.5,18.1266783183084,-23.742671993684,5.61599367537568
5.6,17.4323644875447,-20.8528546773089,3.42049018976422
5.7,17.1663087032664,-17.0908606745965,-0.0754480286698303
5.8,19.074702568208,-15.4953714014858,-3.57933116672219
5.9,20.739386853207,-15.2787360732408,-5.46065077996628
6,20.9164687269975,-14.4117748267176,-6.50469390027994
6.1,19.7586207995436,-12.3477907853196,-7.41083001422403
6.2,18.272740900905,-8.94216575289821,-9.33057514800676
6.3,18.3103158399378,-6.03352608723674,-12.276789752701
6.4,18.9287078927695,-4.66569113792856,-14.2630167548409
6.5,18.4456568262739,-3.44324169088854,-15.0024151353853
6.6,16.5523385223268,-1.60957436140589,-14.942764160921
6.7,13.6550314324835,1.38891062542524,-15.0439420579087
6.8,12.3737505794468,4.37122663352265,-16.7449772129695
6.9,12.8096221929333,6.36291651699186,-19.1725387099252
7.00000000000001,12.5953529712822,7.84737274579077,-20.442725717073
7.10000000000001,10.9295043223495,9.31920523777651,-20.248709560126
7.20000000000001,8.00568920590142,11.565287059402,-19.5709762653035
7.30000000000001,5.43128594998512,14.5808330409907,-20.0121189909758
7.40000000000001,4.08296326543102,17.0705466861129,-21.1535099515439
7.50000000000001,2.6453701844748,18.5205891599442,-21.165959344419
7.60000000000001,0.671947402662152,19.4285205904984,-20.1004679931606
7.70000000000001,-2.62064795946688,20.2662028148013,-17.6455548553344
7.80000000000001,-6.06938306070662,21.9612476119312,-15.8918645512246
7.90000000000001,-8.49442652024895,24.5323256077318,-16.0378990874829
8.00000000000001,-10.410247145844,26.46602693914,-16.055779793296
8.10000000000001,-12.2302174919095,27.037326576102,-14.8071090841925
8.20000000000001,-14.9062490750612,26.7200539325286,-11.8138048574675
8.3,-18.4605160799611,26.8917738140257,-8.43125773406466
8.4,-21.38137110255,27.8130573069239,-6.43168620437379
8.5,-23.5149724127834,28.5248351536629,-5.00986274087953
8.6,-24.5828095368473,27.5586521492374,-2.97584261239008
8.7,-25.528659831753,25.4538412419114,0.0748185898415343
8.8,-27.2229307340072,22.5032520428872,4.71967869112004
8.9,-29.523671699243,21.5747483436491,7.94892335559388
9,-31.7457354987823,21.5154683430979,10.2302671556844
9.1,-32.700012836485,20.6064779769447,12.0935348595403
9.2,-32.3365066591097,18.0331057792947,14.303400879815
9.3,-31.7590438321677,13.7694619956637,17.989581836504
9.4,-31.9645193487016,10.1093858274234,21.8551335212782
9.5,-32.5635862852892,8.11454281389164,24.4490434713975
9.6,-32.2303615757097,6.47060572111357,25.7597558545962
9.7,-30.4608013102952,4.11446321032082,26.3463380999744
9.8,-27.134128034052,-0.059611990055442,27.1937400241075
9.9,-24.0213291439189,-5.01715955847024,29.0384887023891
9.99999999999999,-23.6162122020721,-7.88973295602025,31.5059451580924
10.1,-22.9483994398476,-9.84590055315626,32.7942999930039
10.2,-21.2905184640651,-11.4300698100997,32.7205882741649
10.3,-17.8718231695424,-13.7839310626051,31.6557542321475
10.4,-12.8649803474671,-17.9440162523616,30.8089965998287
10.5,-9.5908505509272,-21.3253912979783,30.9162418489056
10.6,-7.75258427191401,-23.1636733024561,30.9162575743702
10.7,-6.02293905023656,-23.674929143123,29.6978681933596
10.8,-3.31263096878694,-23.672482270085,26.985113238872
10.9,1.51859798133748,-24.6581734047754,23.139575423438
11,5.52021473269779,-26.8955268699439,21.3753121372461
11.1,7.74859041180423,-28.7221732328156,20.9735828210114
11.2,9.15551919970513,-29.0161332436905,19.8606140439853
11.3,10.5209937746603,-28.0817790029629,17.5607852283026
11.4,13.2629490407177,-26.686355160684,13.4234061199663
11.5,17.0198102208823,-26.3478020501404,9.32799182925801
11.6,19.4041049682309,-26.650194668151,7.24608969992009
11.7,20.3703529654614,-26.1670594925662,5.79670652710496
11.8,20.2961866750332,-24.1067895492317,3.8106028741985
11.9,20.3112952326217,-20.7654435131471,0.454148280525366
