"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.05,7.28767886023841e-06,0.470818837438868,-0.470826125117728
0.1,4.98721381660587e-06,0.944491479207188,-0.944496466421004
0.15,2.68674877297333e-06,1.41816412097551,-1.41816680772428
0.2,3.86283729340784e-07,1.89183676274383,-1.89183714902756
0.25,-1.91418131429176e-06,2.36550940451215,-2.36550749033083
0.3,-4.2146463579243e-06,2.83918204628047,-2.83917783163411
0.35,-6.51511140155684e-06,3.31285468804879,-3.31284817293738
0.4,-8.81557644518939e-06,3.78652732981711,-3.78651851424066
0.45,0.465458077181206,4.5389045216914,-5.0043625988726
0.5,1.05984896577507,5.49785985757789,-6.55770882335296
0.55,1.4547045663911,6.42072383600028,-7.87542840239137
0.6,1.63316587701987,7.24170731945064,-8.87487319647051
0.65,1.4558962734027,8.01175591554326,-9.46765218894597
0.7,0.86420478689188,8.86770522142316,-9.73191000831503
0.75,0.0164446543771774,9.89910405945992,-9.91554871383711
0.8,-1.02877132952566,11.5624205969979,-10.5336492674722
0.85,-1.83531835039647,13.3880085592616,-11.5526902088651
0.9,-2.48168372700522,15.1679134714543,-12.6862297444491
0.95,-3.22537258625795,16.746514873005,-13.5211422867471
1,-4.2854388006551,18.0920308399857,-13.8065920393306
1.05,-5.73059439292095,19.2791472214529,-13.5485528285319
1.1,-7.56370705397346,20.4968595730847,-12.9331525191112
1.15,-9.54611745052209,21.8783042065596,-12.3321867560375
1.2,-11.2909691250574,23.2735551630425,-11.9825860379851
1.25,-12.7466444709708,24.5120483941968,-11.765403923226
1.3,-13.759754665757,26.2079455659472,-12.4481909001902
1.35,-14.8473277048003,27.7640917622458,-12.9167640574455
1.4,-16.0397309833189,29.0524899995058,-13.0127590161868
1.45,-17.4014121920408,29.9429473389837,-12.5415351469429
1.5,-19.33839066268,30.4649747121103,-11.1265840494303
1.55,-21.5035307232288,30.9824207767087,-9.47889005347998
1.6,-23.6626675963182,31.5768594162135,-7.91419181989524
1.65,-25.5483322818342,32.3292015694949,-6.78086928766073
1.7,-27.3906515588201,33.2901628463277,-5.89951128750764
1.75,-29.2529405700406,34.3057986714111,-5.05285810137042
1.8,-30.9503121510152,34.7956753466365,-3.84536319562127
1.85,-32.4622983439977,34.6973996704262,-2.23510132642855
1.9,-33.9780084769961,34.5863206685239,-0.608312191527811
1.95,-35.7440773609867,33.3887760760077,2.35530128497898
2,-37.6417666910599,31.9634477459088,5.67831894515114
2.05,-39.6786006072437,30.8542037298688,8.82439687737489
2.1,-41.7378156631803,30.5854429299706,11.1523727332097
2.15,-43.8996567947715,30.8212675151719,13.0783892795997
2.2,-45.384061532123,30.595603481551,14.788458050572
2.25,-45.9544352672092,29.636247509633,16.3181877575762
2.3,-45.9528297168858,27.9917893162935,17.9610404005923
2.35,-45.6368207391468,25.6264368276708,20.010383911476
2.4,-45.3384255735577,22.6069771137888,22.7314484597689
2.45,-45.4682175704005,19.1467820830225,26.321435487378
2.5,-46.6556449902162,16.5456578881241,30.109987102092
2.55,-47.9062805889398,14.6881024964706,33.2181780924691
2.6,-48.4719195563655,13.2141308125463,35.2577887438192
2.65,-48.3690161137037,11.8352166749823,36.5337994387214
2.7,-47.500537135022,10.2661803893235,37.2343567456985
2.75,-45.7656207623214,8.13113703762673,37.6344837246946
2.8,-43.651167398015,5.61519842004247,38.0359689779725
2.85,-41.0784521315852,1.94251303691534,39.1359390946698
2.9,-38.5124287278673,-2.31236293456073,40.824791662428
2.95,-36.7739615512279,-6.15207998796231,42.9260415391903
3,-35.8223985317058,-8.76398905894575,44.5863875906515
3.05,-35.062898703518,-10.5243654801715,45.5872641836895
3.1,-34.1682670099506,-11.7700041147876,45.9382711247383
3.15,-33.0738950096998,-12.7721473714871,45.8460423811869
3.2,-31.6085971187858,-13.8261808736704,45.4347779924561
3.25,-29.4321217839826,-15.3344359175219,44.7665577015045
3.3,-26.1554087659383,-17.7362443738296,43.8916531397679
3.35,-22.1312728238102,-21.0168172755367,43.1480900993469
3.4,-18.3128044729484,-23.9245678310361,42.2373723039845
3.45,-15.2973971374208,-25.918345805909,41.2157429433298
3.5,-12.9213013445318,-27.1860211562459,40.1073225007777
3.55,-11.0225073350907,-27.7555463465019,38.7780536815926
3.6,-9.09136364576228,-27.8332062548635,36.9245699006258
3.65,-6.71264940086875,-27.7000366727454,34.4126860736141
3.7,-3.61418573403836,-27.7733163796082,31.3875021136466
3.75,1.24427934583876,-29.0131742161202,27.7688948702814
3.8,5.38429534370872,-30.8738082459559,25.4895129022471
3.85,7.60366087463612,-32.0581186901137,24.4544578154776
3.9,8.68139619269131,-32.4438915806336,23.7624953879424
3.95,9.17263816106665,-32.0911769159535,22.9185387548868
4,9.40169807926015,-31.1513890923907,21.7496910131306
4.05,9.5286204689536,-29.7633988845128,20.2347784155592
4.1,9.79982964461246,-27.9139512851429,18.1141216405305
4.15,10.5105215317495,-26.0018780265874,15.4913564948379
4.2,11.9029133512616,-24.4833235238731,12.5804101726115
4.25,13.3010545731396,-23.885225728064,10.5841711549244
4.3,14.4109400468199,-23.7807808047093,9.36984075788939
4.35,15.0123941251969,-23.4305423760924,8.41814825089549
4.4,15.2083415086448,-22.608207542842,7.39986603419724
4.45,14.9792469765425,-21.0829452987182,6.10369832217566
4.5,14.5799561683714,-19.1175403847577,4.53758421638624
4.55,14.1681263522176,-16.7214511802539,2.55332482803631
4.6,14.6287385851597,-14.7709576594216,0.142219074261804
4.65,16.4048044462786,-14.3994185871739,-2.00538585910466
4.7,17.8998410170256,-14.3281131879668,-3.57172782905884
4.75,18.6008707192887,-14.0651589305664,-4.53571178872231
4.8,18.4632045273171,-13.3483274085296,-5.11487711878752
4.85,17.7595410309581,-12.1970194581967,-5.56252157276138
4.9,16.5854813787972,-10.5164278744899,-6.0690535043073
4.95,15.4960841449841,-8.41812198878172,-7.07796215620242
5,15.4166523328306,-6.52280992408649,-8.8938424087441
5.05,16.4076513242948,-5.33879108632934,-11.0688602379654
5.1,17.3483605879665,-4.65300257269714,-12.6953580152694
5.15,17.7774456629461,-4.08301392431491,-13.6944317386312
5.2,17.5821433472722,-3.38889013445615,-14.193253212816
5.25,16.8498484405038,-2.46499899527447,-14.3848494452294
5.3,15.4804754897425,-1.15040612937954,-14.3300693603629
5.35,13.7838432254539,0.734431772714954,-14.5182749981688
5.4,12.583019248154,2.80430216274072,-15.3873214108946
5.44999999999999,12.5520278362371,4.42846438255497,-16.9804922187921
5.49999999999999,12.9754824255789,5.70775780875604,-18.6832402343349
5.54999999999999,13.2149786183767,6.7966197829038,-20.0115984012805
5.59999999999999,13.1346361693874,7.68603012948803,-20.8206662988754
5.64999999999999,12.6285086730804,8.52650099922192,-21.1550096723023
5.69999999999999,11.634954886435,9.52252037579637,-21.1574752622314
5.74999999999999,10.1232097904299,11.0222967152488,-21.1455065056786
5.79999999999999,8.31951373777411,13.088325717283,-21.4078394550571
5.84999999999999,6.76892735815355,15.1438953917133,-21.9128227498669
5.89999999999999,5.66222936304878,16.9753430210451,-22.637572384094
5.94999999999999,4.65304014739729,18.4446235759136,-23.097663723311
5.99999999999999,3.4429590906095,19.6180786117073,-23.0610377023168
6.04999999999999,1.78883330362241,20.6370548273203,-22.4258881309428
6.09999999999999,-0.542507396059276,21.5794059915509,-21.0368985954916
6.14999999999999,-3.66541388024716,22.8622354731115,-19.1968215928643
6.19999999999999,-6.81141398968875,24.5279966493259,-17.7165826596371
6.24999999999999,-8.95258775744586,26.0735984496016,-17.1210106921557
6.29999999999999,-10.2326278272245,27.7705875761772,-17.5379597489527
6.34999999999999,-11.1849742819475,29.1488702922462,-17.9638960102987
6.39999999999999,-11.9938787063619,29.9647463538314,-17.9708676474695
6.44999999999999,-12.8286686806555,30.274639148338,-17.4459704676824
6.49999999999999,-13.8652881679497,30.1225173526523,-16.2572291847026
6.54999999999999,-15.3935623606786,29.7282394788667,-14.3346771181881
6.59999999999999,-17.4363062485856,29.3318640030858,-11.8955577545002
6.64999999999999,-19.4147120150297,29.4698069998451,-10.0550949848154
6.69999999999999,-21.2104087714359,30.0139957266605,-8.80358695522449
6.74999999999999,-22.946363340714,30.8459896891176,-7.8996263484035
6.79999999999999,-24.3247447914475,31.2906368182117,-6.96589202676419
6.84999999999999,-25.5105948804916,31.390209896461,-5.87961501596942
6.89999999999999,-26.4300205321718,30.6519951700067,-4.22197463783492
6.94999999999999,-27.5430261508891,29.506377123539,-1.96335097264993
6.99999999999998,-29.0061492183778,27.8161774020112,1.18997181636657
7.04999999999998,-30.6737205921832,26.1491704275031,4.52455016468005
7.09999999999998,-32.5771849738088,25.540669643851,7.0365153299578
7.14999999999998,-34.693939945112,25.6996166119255,8.9943233331865
7.19999999999998,-36.2157119285104,25.6021589264274,10.613553002083
7.24999999999998,-36.8878864863695,24.9399203992837,11.9479660870858
7.29999999999998,-36.8857907230581,23.7102120028514,13.1755787202067
7.34999999999998,-36.4485385006897,21.8352401479179,14.6132983527719
7.39999999999998,-35.9035918959121,19.2414876896894,16.6621042062228
7.44999999999998,-35.8288621334129,16.1550293025963,19.6738328308167
7.49999999999998,-36.6452229666913,13.5725538795725,23.0726690871188
7.54999999999998,-37.770122205762,11.7831831901994,25.9869390155625
7.59999999999998,-38.4332489614434,10.507549330085,27.9256996313584
7.64999999999998,-38.5352785943366,9.39275149092385,29.1425271034128
7.69999999999998,-37.9061454869171,8.14095926728976,29.7651862196273
7.74999999999998,-36.6145829828505,6.48051323134297,30.1340697515076
7.79999999999998,-34.7903705043566,4.28464951065595,30.5057209937007
7.84999999999998,-32.5882093904209,1.14279871470696,31.4454106757139
7.89999999999998,-30.3678177355391,-2.62039578804198,32.9882135235811
7.94999999999998,-29.145135353143,-5.65219823855053,34.7973335916935
7.99999999999998,-28.6222192225377,-7.72914395532717,36.3513631778649
8.04999999999998,-28.1840881161365,-9.25568141720005,37.4397695333365
8.09999999999998,-27.6131233600618,-10.322466778531,37.9355901385927
8.14999999999998,-26.7700603307877,-11.2141202144017,37.9841805451895
8.19999999999998,-25.5377278089227,-12.2307151766074,37.7684429855301
8.24999999999998,-23.6152867911756,-13.7984478549772,37.4137346461528
8.29999999999998,-20.6764636233427,-16.3105613626402,36.9870249859829
8.34999999999998,-17.1922363333561,-19.3943896086319,36.586625941988
8.39999999999998,-14.1809293955584,-21.9462186099266,36.127148005485
8.44999999999998,-11.9223803137974,-23.7539719234111,35.6763522372084
8.49999999999998,-10.2776843588302,-24.8147705068661,35.0924548656963
8.54999999999998,-8.7271246078857,-25.3210088257879,34.0481334336736
8.59999999999997,-6.88687584872717,-25.5365354035295,32.4234112522566
8.64999999999998,-4.60927541025521,-25.6517417306793,30.2610171409345
8.69999999999997,-0.757920653487667,-26.4800398896043,27.2379605430919
8.74999999999998,4.0201025131753,-28.2049490327451,24.1848465195698
8.79999999999997,6.94229208581006,-30.012537887545,23.070245801735
8.84999999999997,8.54142035984501,-31.2508535787172,22.7094332188722
8.89999999999997,9.50929266777815,-31.8309698956241,22.321677227846
8.94999999999997,10.0362820888709,-31.6721219599576,21.6358398710867
8.99999999999997,10.4030104022607,-31.0535694125133,20.6505590102526
9.04999999999997,10.7590352891048,-29.8617238625607,19.1026885734559
9.09999999999997,11.417336240079,-28.3156713995564,16.8983351594774
9.14999999999997,12.7038411372151,-26.8263014543021,14.122460317087
