"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.05,3.8372345304602e-06,0.475910906485085,-0.475914743719615
0.1,-1.33044132087998e-06,0.95477919064219,-0.954777860200868
0.15,-6.49811717222015e-06,1.43364747479929,-1.43364097668212
0.2,-1.16657930235603e-05,1.9125157589564,-1.91250409316337
0.25,-1.68334688749005e-05,2.3913840431135,-2.39136720964463
0.3,-2.20011447262407e-05,2.87025232727061,-2.87023032612588
0.35,-2.71688205775809e-05,3.34912061142771,-3.34909344260713
0.4,-3.2336496428921e-05,3.82798889558482,-3.82795655908838
0.45,0.319802515106359,4.65592829726651,-4.97573081237287
0.5,0.85754480368995,5.65826630844421,-6.51581111213416
0.55,1.27635933864129,6.5757237183692,-7.85208305701049
0.6,1.4321857300102,7.40223814332598,-8.83442387333617
0.65,1.15921491058214,8.198857570377,-9.35807248095914
0.7,0.456356204314732,9.087920766429,-9.54427697074373
0.75,-0.458744399400717,10.1519335537966,-9.69318915439587
0.8,-1.39178468995417,11.7014857491307,-10.3097010591766
0.85,-2.06630851298257,13.5083843262536,-11.4420758132711
0.9,-2.62585055383564,15.2642530062342,-12.6384024523986
0.95,-3.25080228469594,16.8103067688166,-13.5595044841207
1,-4.09639993646036,18.0526073257233,-13.9562073892629
1.05,-5.23246656510027,19.0708163745719,-13.8383498094716
1.1,-6.76339216075569,20.105904661687,-13.3425125009313
1.15,-8.5952573187217,21.3598809582162,-12.7646236394945
1.2,-10.5181909427927,22.8014521543289,-12.2832612115362
1.25,-12.3877875920465,24.2920903159643,-11.9043027239177
1.3,-13.8350440346245,26.304870689548,-12.4698266549235
1.35,-15.2315582652311,28.099525607996,-12.8679673427649
1.4,-16.6594714138753,29.5726913214707,-12.9132199075954
1.45,-18.2211773673017,30.6293142884993,-12.4081369211976
1.5,-20.3204183038603,31.3137622093855,-10.9933439055252
1.55,-22.750820362296,32.0321612396572,-9.28134087736126
1.6,-25.2611831648809,32.8799123300008,-7.61872916511997
1.65,-27.5463738655921,33.8832047109157,-6.33683084532359
1.7,-29.6165947129523,34.8877318344034,-5.27113712145103
1.75,-31.4502836356679,35.715914368688,-4.26563073302009
1.8,-33.1117975713988,36.208417056572,-3.09661948517313
1.85,-34.4580882477849,35.9061357729103,-1.44804752512527
1.9,-35.8043789241711,35.6038544892486,0.200524434922596
1.95,-37.3236364887892,34.3271543505954,2.99648213819389
2,-39.1058464887268,32.7116728953642,6.39417359336259
2.05,-40.9674787908731,31.4934224515919,9.47405633928113
2.1,-42.693171580164,31.0477821474382,11.6453894327259
2.15,-44.5070941831539,31.0893353884634,13.4177587946904
2.2,-45.8546550974085,30.7945434271055,15.0601116703032
2.25,-46.6375191260604,29.9763374254481,16.6611817006123
2.3,-47.0008841555196,28.531920939929,18.4689632155906
2.35,-47.0867224947403,26.3391779489687,20.7475445457715
2.4,-47.0053664874751,23.3738863416779,23.6314801457973
2.45,-46.9085332914628,19.7470215215158,27.1615117699471
2.5,-47.1605465295011,16.6798001237645,30.4807464057366
2.55,-47.5356211479026,14.5379531972735,32.9976679506291
2.6,-47.7785746538442,12.8838889396827,34.8946857141614
2.65,-47.715406511967,11.5168498494897,36.1985566624774
2.7,-47.1614976683659,10.116331916733,37.0451657516329
2.75,-45.6931289177222,8.16607032477569,37.5270585929465
2.8,-43.6961051639205,5.62408274590092,38.0720224180196
2.85,-40.9914854783536,1.89218951211451,39.0992959662391
2.9,-38.1399407810392,-2.48468038750486,40.6246211685441
2.95,-36.1779024946075,-6.43570414448072,42.6136066390882
3,-35.1907083300116,-9.05232359025131,44.243031920263
3.05,-34.3242756055774,-10.8458924515895,45.1701680571669
3.1,-33.2059924266073,-12.175872397014,45.3818648236212
3.15,-31.7236358190348,-13.3030259927813,45.026661811816
3.2,-29.650015882114,-14.5066513945841,44.1566672766981
3.25,-26.7928100100542,-16.22765658264,43.0204665926941
3.3,-23.1428484151564,-18.7713993243514,41.9142477395077
