"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.05,3.69099505211807e-06,0.476067696353924,-0.476071387348976
0.1,-1.4990040155525e-06,0.955093724580568,-0.955092225576552
0.15,-6.68900308322306e-06,1.43411975280721,-1.43411306380413
0.2,-1.18790021508936e-05,1.91314578103385,-1.9131339020317
0.25,-1.70690012185642e-05,2.3921718092605,-2.39215474025928
0.3,-2.22590002862348e-05,2.87119783748714,-2.87117557848686
0.35,-2.74489993539053e-05,3.35022386571378,-3.35019641671443
0.4,-3.26389984215759e-05,3.82924989394043,-3.82921725494201
0.45,0.314530309244467,4.66035059317863,-4.97488090242309
0.5,0.858667902980504,5.65981113151646,-6.51847903449696
0.55,1.28112497750995,6.57712417015368,-7.85824914766364
0.6,1.43399522543193,7.40401323582913,-8.83800846126106
0.65,1.15702072302713,8.2028100147055,-9.35983073773263
0.7,0.451991054294663,9.09382191301531,-9.54581296730999
0.75,-0.462416939892101,10.1469915203058,-9.68457458041368
0.8,-1.38052354804205,11.7100671056134,-10.3295435575714
0.85,-2.05772926099796,13.5023527553912,-11.4446234943932
0.9,-2.62300836649974,15.2555582408736,-12.6325498743739
0.95,-3.24900657320188,16.7975325636466,-13.5485259904447
1,-4.08695394422335,18.0330894822694,-13.946135538046
1.05,-5.2116514910817,19.0590923470859,-13.8474408560043
1.1,-6.73047344635797,20.0982972986999,-13.3678238523419
1.15,-8.56853148918463,21.3500935013317,-12.7815620121471
1.2,-10.5077860620137,22.7969950561567,-12.289208994143
1.25,-12.394385385653,24.2995066709948,-11.9051212853418
1.3,-13.8457008366678,26.3151929410423,-12.4694921043744
1.35,-15.2423769303797,28.1099427462962,-12.8675658159165
1.4,-16.6697421035789,29.5828785263081,-12.9131364227293
1.45,-18.2310014171585,30.6394885136444,-12.4084870964859
1.5,-20.3287096300129,31.3236950552759,-10.9949854252629
1.55,-22.7623650095204,32.0435539963387,-9.28118898681825
1.6,-25.2828537907938,32.8978015387206,-7.61494774792676
1.65,-27.5765942556198,33.9053223567344,-6.32872810111461
1.7,-29.6436403951486,34.9029871569599,-5.25934676181123
1.75,-31.4657887831992,35.7207553220073,-4.25496653880815
1.8,-33.1150179108175,36.2024506398111,-3.08743272899367
1.85,-34.4573586182847,35.910359441467,-1.45300082318228
1.9,-35.7987119189771,35.6133363833557,0.185375535621434
1.95,-37.3112421230664,34.3015063510972,3.00973577196917
2,-39.0871713309485,32.700711278432,6.3864600525164
2.05,-40.9408666626671,31.471438725536,9.46942793713107
2.1,-42.6521064615684,31.0178895029179,11.6342169586505
2.15,-44.4570974043663,31.0545529531858,13.4025444511805
2.2,-45.8063018008333,30.7608428431115,15.0454589577218
2.25,-46.6024147225085,29.9515288707101,16.6508858517985
2.3,-46.9805146340415,28.5120495163675,18.4684651176741
2.35,-47.0811523534751,26.3323703656674,20.7487819878077
2.4,-46.9923126767434,23.36237293711,23.6299397396334
2.45,-46.8645212383619,19.7111262413912,27.1533949969708
2.5,-47.089103008339,16.6519113714103,30.4371916369286
2.55,-47.4449625665712,14.5027445451144,32.9422180214568
2.6,-47.6937666206388,12.8552260798453,34.8385405407935
2.65,-47.6503877115748,11.4964672981528,36.1539204134219
2.7,-47.1113380920959,10.1031007407382,37.0082373513576
2.75,-45.6084997209248,8.10526403071435,37.5032356902104
2.8,-43.6606955259811,5.60505109579285,38.0556444301882
2.85,-40.9640856550883,1.89314108825525,39.0709445668331
2.9,-38.0929816507787,-2.49806976688643,40.5910514176652
2.95,-36.1274423059099,-6.44729347469163,42.5747357806015
3,-35.1478808074995,-9.05825426961405,44.2061350771136
3.05,-34.2763763615974,-10.8543839845297,45.1307603461269
3.1,-33.1607739971868,-12.1895742800095,45.3503482771964
3.15,-31.6777132124012,-13.3091334640887,44.9868466764898
3.2,-29.585259175083,-14.5164388245143,44.1016979995973
3.25,-26.7129138293552,-16.2483924193773,42.9613062487324
3.3,-23.0681758621367,-18.8017862408702,41.8699621030069
3.35,-18.9375781868745,-22.1001349274168,41.0377131142913
3.4,-15.5222830554421,-24.9424219680563,40.4647050234984
3.45,-13.2778097931881,-26.7172757243114,39.9950855174995
3.5,-11.6367868084368,-27.7322009591468,39.3689877675836
3.55,-10.2581813030595,-28.1064922816108,38.3646735846702
3.6,-8.77233475708418,-28.0110735365451,36.7834082936292
3.65,-6.85989871438892,-27.6938884959997,34.5537872103886
