"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.01,1.06229088319051e-05,0.121787348567095,-0.121797971475927
0.02,9.94888277265488e-06,0.246803435093064,-0.246813383975837
0.03,9.27485671340467e-06,0.371819521619033,-0.371828796475747
0.04,8.60083065415445e-06,0.496835608145002,-0.496844208975657
0.05,7.92680459490423e-06,0.621851694670971,-0.621859621475567
0.06,7.25277853565402e-06,0.746867781196941,-0.746875033975477
0.07,6.5787524764038e-06,0.871883867722909,-0.871890446475387
0.08,5.90472641715359e-06,0.996899954248878,-0.996905858975297
0.09,5.23070035790337e-06,1.12191604077485,-1.12192127147521
0.1,4.55667429865315e-06,1.24693212730082,-1.24693668397512
0.11,3.88264823940293e-06,1.37194821382679,-1.37195209647503
0.12,3.20862218015272e-06,1.49696430035275,-1.49696750897494
0.13,2.5345961209025e-06,1.62198038687872,-1.62198292147485
0.14,1.86057006165228e-06,1.74699647340469,-1.74699833397476
0.15,1.18654400240207e-06,1.87201255993066,-1.87201374647467
0.16,5.12517943151851e-07,1.99702864645663,-1.99702915897458
0.17,-1.61508116098365e-07,2.1220447329826,-2.12204457147449
0.18,-8.35534175348582e-07,2.24706081950857,-2.2470599839744
0.19,-1.5095602345988e-06,2.37207690603454,-2.37207539647431
0.2,-2.18358629384901e-06,2.49709299256051,-2.49709080897422
0.21,-2.85761235309923e-06,2.62210907908648,-2.62210622147413
0.22,-3.53163841234945e-06,2.74712516561244,-2.74712163397404
0.23,-4.20566447159967e-06,2.87214125213841,-2.87213704647395
0.24,-4.87969053084988e-06,2.99715733866438,-2.99715245897386
0.25,-5.5537165901001e-06,3.12217342519035,-3.12216787147377
0.26,-6.22774264935032e-06,3.24718951171632,-3.24718328397368
0.27,-6.90176870860053e-06,3.37220559824229,-3.37219869647359
0.28,-7.57579476785075e-06,3.49722168476826,-3.4972141089735
0.29,-8.24982082710097e-06,3.62223777129423,-3.62222952147341
0.3,-8.92384688635119e-06,3.7472538578202,-3.74724493397332
0.31,-9.59787294560141e-06,3.87226994434617,-3.87226034647323
0.32,-1.02718990048516e-05,3.99728603087214,-3.99727575897314
0.33,-1.09459250641018e-05,4.12230211739811,-4.12229117147305
0.34,-1.16199511233521e-05,4.24731820392408,-4.24730658397296
0.35,0.0349807297558475,4.41394816595087,-4.44892889570671
0.36,0.175642093520038,4.66227654514584,-4.83791863866588
0.37,0.316303457284229,4.91060492434082,-5.22690838162504
0.38,0.45027285977651,5.1662156151135,-5.61648847489001
0.39,0.581263759274937,5.42506756595257,-6.0063313252275
0.4,0.709184031145037,5.68274540010026,-6.39192943124529
